GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
SLC25A1	22q11.2_LCRA-D	1.417e-4	1.895888888888889e-4	1.586505679012346e-8	86	75	1	86, 64, 5	5.1
PRRT2	16p11.2prox	5.076e-4	7.11888888888889e-4	2.4912803012345675e-7	83	71	1	83, 36, 36	5.1
POLR3GL	1q21_TAR	1.78e-4	2.7059933699408753e-4	4.154000118163975e-8	79	66	1	79, 75, 4	5.3
CD19	16p11.2dist	1.3769999999999999e-4	2.2582155921630975e-4	3.203408660688529e-8	76	61	1	76, 79, 3	5.3
PRODH	22q11.2_LCRA-D	1.417e-4	2.5387777777777774e-4	4.437503604938272e-8	72	56	1	72, 82, 3	5.3
MYH11	16p13.11	3.11e-4	6.365464370480429e-4	3.08470366518558e-7	66	49	1	66, 26, 26	1.7
CNNM4	2q11.2	7.36e-5	1.5446588784704605e-4	1.8442750508376213e-8	65	48	1	65, 86, 3	5.3
NCAPH	2q11.2	7.36e-5	1.5447544360471267e-4	1.8445702676872773e-8	65	48	1	65, 86, 3	5.3
TXNRD2	22q11.2_LCRA-D	1.417e-4	3.02877772765855e-4	7.165605523560489e-8	64	47	1	64, 49, 49	5.3
CHAT	10q11.21q11.23	1.353e-4	2.9576666165474384e-4	6.917182814639176e-8	63	46	1	63, 50, 50	5.2
TUFM	16p11.2dist	1.3769999999999999e-4	2.9850010544351405e-4	7.0141022949789e-8	63	46	1	63, 50, 50	5.2
TBX6	16p11.2prox	5.076e-4	8.272222222222221e-4	5.538383055116031e-4	61	61	1	61, 29, 1	2.9
UQCRC2	16p12.1	5.84e-4	0.0013235666666666667	1.410772721111111e-6	61	44	1	61, 82, 5	4.5
SACS	13q12.12	2.018e-4	4.879222222222222e-4	1.973448549382716e-7	59	41	1	59, 50, 15	2.5
OTOA	16p12.1	5.84e-4	0.0014428042036051757	1.7406279699407656e-6	58	40	1	58, 70, 11	2.9
ATP2A1	16p11.2dist	1.3769999999999999e-4	3.950857731700771e-4	1.3713147816139765e-7	52	35	1	52, 35, 35	1.4
MERTK	2q13	1.258e-4	3.611173317992232e-4	1.1458008732579025e-7	52	35	1	52, 38, 38	0.59
SGCG	13q12.12	2.018e-4	6.115699882605837e-4	3.3329461054105054e-7	50	33	2	76, 50, 20	2.7
LMAN2L	2q11.2	7.36e-5	2.2738222045347924e-4	4.628571417835462e-8	49	32	2	92, 49, 2	5
TRPM1	15q13.3_BP4-BP5	9.97e-5	3.470783299695866e-4	1.2045773125847725e-7	49	29	1	49, 44, 34	1.9
ANAPC1	2q13	1.258e-4	4.3178365535744364e-4	1.7061148503383566e-7	45	29	2	57, 45, 31	0.67
RBP3	10q11.21q11.23	1.353e-4	5.140406687921948e-4	2.459317191723269e-7	42	26	2	66, 42, 26	0.85
CDC45	22q11.2_LCRA-D	1.417e-4	5.476676645516935e-4	2.798609807955063e-7	41	26	2	52, 41, 45	0.94
SCARF2	22q11.2_LCRA-D	1.417e-4	5.945941157388605e-4	3.3346327247127736e-7	38	24	2	85, 38, 22	4.5
NSMCE3	15q11q13_BP3-BP5	2.374e-6	4.483777777777778e-5	5.623100400493828e-10	36	5.3	2	93, 36, 7	2.6
TFRC	3q29	2.136e-5	9.648810734314223e-5	8.853705258661738e-9	36	22	2	94, 36, 2	4.5
NCF1	7q11.23	1.2e-4	6.203333333333333e-4	3.7041344444444443e-7	32	19	3	74, 44, 32	0.36
SNAP29	22q11.2_LCRA-D	1.417e-4	7.393300031009649e-4	5.265299634852726e-7	32	19	2	95, 32, 2	4.3
ABCC6	16p13.11	3.11e-4	0.0017503713275357667	2.9670787842593226e-6	30	18	1	30, 31, 13	2.4
MIPEP	13q12.12	2.018e-4	0.0012087292269951976	1.4203031041924076e-6	29	17	2	56, 29, 31	1.6
ERCC6	10q11.21q11.23	1.353e-4	8.369914539769292e-4	6.82248604030414e-7	28	16	2	54, 28, 30	0.34
FAN1	15q13.3_BP4-BP5	9.97e-5	6.95904323435881e-4	4.842771915007514e-7	27	14	3	34, 34, 27	0.66
TANGO2	22q11.2_LCRA-D	1.417e-4	0.0010636666666666668	1.111307887777778e-6	24	13	2	87, 24, 22	2.9
RNF168	3q29	2.136e-5	1.6931889085682728e-4	2.8212637200986194e-8	22	13	2	96, 22, 2	3.7
LZTR1	22q11.2_LCRA-D	1.417e-4	0.0012217732203274139	1.472650911909219e-6	21	12	2	23, 21, 18	1.3
TOP3A	SMS	5.333e-5	5.687013325761796e-4	3.205771167739225e-7	17	9.4	8	22, 22, 22	-0.41
PCYT1A	3q29	2.136e-5	2.4231221926361324e-4	5.825896200445737e-8	16	8.8	2	97, 16, 2	3.2
MAT1A	10q23	7.121e-6	8.542333333333333e-5	7.246437236777777e-9	15	8.3	2	97, 15, 2	3.1
PI4KA	22q11.2_LCRA-D	1.417e-4	0.001830796065259932	3.3317353425712486e-6	14	7.7	4	54, 38, 20	0.43
MPI	15q24_BPA-BPC	2.374e-6	3.476e-5	1.202621724e-9	13	6.8	2	98, 13, 2	2.8
ALDH3A2	SMS	5.333e-5	8.304777777777778e-4	6.868492504827161e-7	12	6.4	4	77, 20, 13	0.84
TNFRSF13B	SMS	5.333e-5	9.776699939652036e-4	9.529945281999211e-7	10	5.5	9	36, 27, 25	-0.4
OCA2	PWS/AS_BP2-BP3	1.989e-5	7.679985528161957e-4	5.890305529277707e-7	5.1	2.6	9.5	46, 28, 21	-1.7
OCA2	PWS/AS_BP1-BP3	1.989e-5	7.679985528161957e-4	5.890305529277707e-7	5.1	2.6	9.5	46, 28, 21	-1.7
CDHR1	10q23	7.121e-6	3.3192222340842084e-4	1.1012165375138966e-7	4.2	2.1	4	83, 36, 17	-2.1
OTUD7A	15q11q13_BP3-BP5	2.374e-6	1.1341555555555556e-4	1.2857452365975308e-8	4.1	2.1	2	99, 4, 2	1.1
HERC2	PWS/AS_BP2-BP3	1.989e-5	0.0010682385726579775	1.1403424239143532e-6	3.7	1.9	6.5	88, 12, 12	-1.3
HERC2	PWS/AS_BP1-BP3	1.989e-5	0.0010682385726579775	1.1403424239143532e-6	3.7	1.9	6.5	88, 12, 12	-1.3
RP1L1	8p23.1	9.495e-6	5.352334366172345e-4	2.863846766480952e-7	3.5	1.8	8	39, 23, 23	-2.9
STRA6	15q24_BPA-BPC	2.374e-6	1.3147111111111112e-4	1.727901718079012e-8	3.5	1.8	3	69, 69, 4	-4.1
MYO15A	SMS	5.333e-5	0.003153185773170077	9.939736431222177e-6	3.3	1.7	14	32, 29, 24	-0.73
POR	7q11.23_dist	2.374e-6	1.9638222222222222e-4	3.856034132893828e-8	2.4	1.2	3	93, 27, 2	0.27
BBS4	15q24_BPA-BPC	2.374e-6	2.1287988804915715e-4	4.531221085982167e-8	2.2	1.1	6	52, 32, 25	-3.7
MDH2	7q11.23_dist	2.374e-6	2.2752666666666667e-4	5.176274816844444e-8	2.1	1	2	99, 2, 2	0.072
TRPM1	15q11q13_BP3-BP5	2.374e-6	3.470783299695866e-4	1.2045773125847725e-7	1.4	0.68	16	49, 44, 34	-3.6
FAN1	15q11q13_BP3-BP5	2.374e-6	6.95904323435881e-4	4.842771915007514e-7	0.68	0.34	18	34, 34, 27	-4.9
