GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
TBX6	16p11.2prox	5.076e-4	0.0019571222222222223	0.0017328858651882717	26	26	2	61, 26, 3	3.6
TNFRSF13B	SMS	5.333e-5	3.6136666666666665e-4	1.2774177887777778e-7	26	15	2	96, 26, 2	4
LMAN2L	2q11.2	7.36e-5	5.092933212576641e-4	2.5396272707766225e-7	25	14	3	63, 63, 25	-0.8
PI4KA	22q11.2_LCRA-D	1.417e-4	0.0010169422256147696	1.0140926002383208e-6	24	14	5	34, 34, 34	-0.65
MIPEP	13q12.12	2.018e-4	0.001612166688445252	2.55835819133253e-6	22	13	3	60, 46, 22	0.56
SNAP29	22q11.2_LCRA-D	1.417e-4	0.0012507778245343104	1.5443662763467817e-6	20	11	2	97, 20, 2	3.5
ABCC6	16p13.11	3.11e-4	0.004209366666666667	1.7622046734444444e-5	14	7.4	6	41, 33, 31	-0.11
ERCC6	10q11.21q11.23	1.353e-4	0.001852145537068074	3.412137000481184e-6	14	7.3	6	50, 20, 20	-0.57
FAN1	15q13.3_BP4-BP5	9.97e-5	0.001397772250224087	1.9537616276205076e-6	14	7.1	4	80, 26, 26	-1
HERC2	PWS/AS_BP2-BP3	1.989e-5	2.9343999767957464e-4	8.531580803818876e-8	13	6.8	2.5	95, 13, 13	2.8
HERC2	PWS/AS_BP1-BP3	1.989e-5	2.9343999767957464e-4	8.531580803818876e-8	13	6.8	2.5	95, 13, 13	2.8
DYNLT2B	3q29	2.136e-5	5.637333382858998e-4	3.1733902709496475e-7	7.3	3.8	2	98, 7, 2	1.9
MPI	15q24_BPA-BPC	2.374e-6	6.304888888888888e-5	3.969526514123458e-9	7.3	3.8	2	98, 7, 2	1.9
STRA6	15q24_BPA-BPC	2.374e-6	6.361555555555556e-5	4.0413030326419766e-9	7.2	3.7	2	98, 7, 2	1.9
OCA2	PWS/AS_BP2-BP3	1.989e-5	6.548333338544601e-4	4.2801547092694677e-7	5.9	3	5.5	50, 50, 31	-2.2
OCA2	PWS/AS_BP1-BP3	1.989e-5	6.548333338544601e-4	4.2801547092694677e-7	5.9	3	5.5	50, 50, 31	-2.2
LZTR1	22q11.2_LCRA-D	1.417e-4	0.005013865481585512	2.5118768177434724e-5	5.5	2.8	5	88, 13, 8	1
IGLL1	22q11.2_LCRD-H	1.187e-5	4.4606778325811025e-4	1.9883557036080445e-7	5.2	2.7	3	69, 68, 5	-3.5
MAT1A	10q23	7.121e-6	2.8769e-4	8.271482745900001e-8	4.8	2.5	3	75, 61, 5	-3.3
OTUD7A	15q11q13_BP3-BP5	2.374e-6	1.1341555555555556e-4	1.2857452365975308e-8	4.1	2.1	2	99, 4, 2	1.1
MYO15A	SMS	5.333e-5	0.004686864431975409	2.1963854114816176e-5	2.3	1.1	11	66, 30, 16	-1.8
RP1L1	8p23.1	9.495e-6	0.001670270012327118	2.789711759054231e-6	1.1	0.57	16	57, 41, 31	-4.5
BBS4	15q24_BPA-BPC	2.374e-6	5.230488990961844e-4	2.735745149697304e-7	0.9	0.45	13	96, 20, 2	-1.2
TRPM1	15q11q13_BP3-BP5	2.374e-6	5.460711111111111e-4	2.9818802251412345e-7	0.87	0.43	16	65, 33, 19	-4.6
POR	7q11.23_dist	2.374e-6	6.280822222222221e-4	3.9448164199560485e-7	0.75	0.38	12	99, 2, 2	-1.4
FAN1	15q11q13_BP3-BP5	2.374e-6	0.001397772250224087	1.9537616276205076e-6	0.34	0.17	15	80, 26, 26	-6.5
