GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
COX10	HNPP	3.148e-4	6.333230004179163e-4	3.0199898285835195e-7	66	50	1	66, 64, 25	4.5
MYH11	16p13.11	3.126e-4	6.399911043776406e-4	3.118698536825121e-7	66	49	1	66, 48, 12	4
CD19	16p11.2dist	1.361e-4	2.852339988996637e-4	6.283522412829334e-8	65	48	1	65, 58, 16	2.8
RBP3	10q11.21q11.23	1.412e-4	3.2022766475667914e-4	8.260831727551611e-8	61	44	1	61, 22, 11	2.9
CDC45	22q11.2_LCRA-D	1.771e-4	4.531031097785207e-4	1.7393801809096622e-7	56	39	1	56, 34, 22	3.3
CHAT	10q11.21q11.23	1.412e-4	3.861146654942109e-4	1.291470949097064e-7	54	37	1	54, 17, 17	3
FDFT1	8p23.1	1.008e-5	2.7532221801146965e-5	6.564168373075524e-10	54	37	2	90, 54, 2	5.1
SGCG	13q12.12	2.117e-4	6.238126667738395e-4	3.443253532274894e-7	51	34	1	51, 25, 21	3.7
GRAP	SMS	5.0410000000000005e-6	1.5564444444444445e-5	2.168402498641976e-10	49	32	2	92, 49, 2	5
SLC25A1	22q11.2_LCRA-D	1.771e-4	5.700833333997941e-4	2.9363059702022075e-7	47	31	1	47, 47, 22	3.4
PIGW	17q12	6.886e-5	2.329111111111111e-4	4.950588607901235e-8	46	30	2	67, 46, 44	1
HJV	1q21_TAR	1.739e-4	6.035488888888889e-4	3.3403005127901234e-7	45	29	2	91, 45, 3	4.8
CNNM4	2q11.2	7.309999999999999e-5	2.6149177957593926e-4	6.303434078579161e-8	44	28	1	44, 12, 12	2.1
GP1BB	22q11.2_LCRA-D	1.771e-4	6.413666666666666e-4	3.7998679111111114e-7	43	28	2	90, 43, 7	4.7
PI4KA	22q11.2_LCRA-D	1.771e-4	6.400602233842817e-4	3.7831267955873664e-7	43	28	1	43, 10, 10	3.5
TFRC	3q29	2.269e-5	9.053888873216282e-5	7.68245427285496e-9	40	25	2	58, 40, 32	0.4
OTOA	16p12.1	5.922999999999999e-4	0.0024788541657707972	5.793898685159236e-6	39	24	2	71, 39, 11	4.5
TXNRD2	22q11.2_LCRA-D	1.771e-4	7.197870129949878e-4	4.867289340762469e-7	39	25	2	77, 39, 24	3.5
PCYT1A	3q29	2.269e-5	9.694322187124545e-5	8.883152166777521e-9	38	23	1	38, 35, 30	0.78
ATPAF2	SMS	5.0410000000000005e-6	2.193333291225808e-5	4.556594116399435e-10	37	23	2	94, 37, 2	4.5
TBX6	16p11.2prox	2.596e-4	7.018685556502929e-4	4.7573061319577947e-4	37	37	1	37, 23, 16	4.8
DYNLT2B	3q29	2.269e-5	1.0689933417500514e-4	1.0912631547059422e-8	35	21	2	69, 35, 27	0.45
MIPEP	13q12.12	2.117e-4	0.0011108011120328893	1.1890622204935031e-6	32	19	1	32, 30, 23	3.8
SACS	13q12.12	2.117e-4	0.0011156633333333334	1.1998877833444445e-06	32	19	1	32, 23, 8	4.2
LMAN2L	2q11.2	7.309999999999999e-5	4.4061311199526405e-4	1.887963044621511e-7	28	17	2	48, 28, 26	1.7
NSMCE3	15q11q13_BP3-BP4	3.5289999999999996e-5	2.2756777777777778e-4	5.053535394171604e-8	27	16	2	95, 27, 2	4
LZTR1	22q11.2_LCRA-D	1.771e-4	0.0012009132234398338	1.410828160232652e-6	26	15	1	26, 17, 16	3.3
MERTK	2q13	1.2859999999999998e-4	8.485206550684534e-4	7.034493420777974e-7	26	15	3	29, 29, 26	2.4
NRROS	3q29	2.269e-5	1.7076665935164526e-4	2.864641584612085e-8	23	13	2	96, 23, 2	3.8
ATP2A1	16p11.2dist	1.361e-4	0.0011015643322204469	1.1949207680202788e-6	22	12	2	80, 22, 8	3.2
BBS4	15q24_BPA-BPC	2.521e-6	2.2845555555555558e-5	5.155639676419754e-10	20	11	2	97, 20, 2	3.5
ERCC6	10q11.21q11.23	1.412e-4	0.001322865224159188	1.7300349612897389e-6	19	11	2	21, 19, 9	3.2
TANGO2	22q11.2_LCRA-D	1.771e-4	0.0018261221776594719	3.3033577977397716e-6	18	9.7	2	95, 18, 5	3.3
FAN1	15q13.3_BP4-BP5	9.326000000000001e-5	0.0011052502161336664	1.2215716848225165e-6	16	8.4	4	38, 29, 23	2.7
B9D1	SMS	5.0410000000000005e-6	6.436777777777777e-5	4.117799135049382e-9	15	7.8	2	97, 15, 2	3.1
NCF1	7q11.23	3.935e-5	6.501555555555557e-4	4.211538239197531e-7	11	6.1	3	71, 56, 11	0.47
RNF168	3q29	2.269e-5	3.830738840550288e-4	1.4623076454500561e-7	11	5.9	4	57, 28, 15	0.56
ABCC6	16p13.11	3.126e-4	0.005904687547122408	3.4767616269142435e-5	10	5.3	3	63, 13, 10	2.4
TRPM1	15q13.3_BP4-BP5	9.326000000000001e-5	0.0021777782836770437	4.74271189741433e-6	8.4	4.3	5	73, 23, 18	2.1
MAT1A	10q23	7.562000000000001e-6	1.8611e-4	3.4579748256e-8	7.8	4.1	9	42, 35, 18	-1.3
CDHR1	10q23	7.562000000000001e-6	2.0437222390831499e-4	4.171082206123044e-8	7.1	3.7	12	39, 16, 14	-1
MDH2	7q11.23_dist	2.521e-6	1.1710811046791264e-4	1.3707954096364827e-8	4.2	2.2	6	61, 24, 24	-2.7
OTUD7A	15q11q13_BP3-BP5	2.521e-6	1.2282199978574284e-4	1.5078888190369017e-8	4	2.1	3	94, 23, 4	1
RP1L1	8p23.1	1.008e-5	6.370886640138242e-4	4.057803594149193e-7	3.1	1.6	13	48, 26, 21	-0.58
STRA6	15q24_BPA-BPC	2.521e-6	2.0310499918128725e-4	4.12452852514307e-8	2.5	1.2	12	27, 17, 17	-2.6
HERC2	PWS/AS_BP1-BP3	2.521e-6	2.1633955719317207e-4	4.679644856553777e-8	2.3	1.2	11	47, 14, 13	-2.6
NSMCE3	15q11q13_BP3-BP5	2.521e-6	2.2756777777777778e-4	5.053535394171604e-8	2.2	1.1	3	95, 27, 2	0.14
TOP3A	SMS	5.0410000000000005e-6	4.664247749154368e-4	2.1752665897391588e-7	2.1	1.1	14	34, 34, 30	-1.6
ALDH3A2	SMS	5.0410000000000005e-6	5.4613e-4	2.9823256521900003e-7	1.8	0.92	22	66, 30, 15	-1.6
TNFRSF13B	SMS	5.0410000000000005e-6	9.254760020536934e-4	8.56480418696288e-7	1.1	0.54	22	58, 39, 21	-1.6
POR	7q11.23_dist	2.521e-6	5.901544444444444e-4	3.4827591285653087e-7	0.85	0.43	17	86, 19, 15	-1.9
MPI	15q24_BPA-BPC	2.521e-6	7.359464439481652e-4	5.416108129189498e-7	0.68	0.34	21	93, 5, 5	-1.8
MYO15A	SMS	5.0410000000000005e-6	0.0016460369968242011	2.7094123832330353e-6	0.61	0.31	54	22, 20, 12	-1.8
FAN1	15q11q13_BP3-BP5	2.521e-6	0.0011052502161336664	1.2215716848225165e-6	0.46	0.23	29	38, 29, 23	-2.5
OCA2	PWS/AS_BP1-BP3	2.521e-6	0.0013607896598614696	1.8517421429448938e-6	0.37	0.19	27	76, 18, 15	-2.8
TRPM1	15q11q13_BP3-BP5	2.521e-6	0.0021777782836770437	4.74271189741433e-6	0.23	0.12	29	73, 23, 18	-3.1
