GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
MYH11	16p13.11	3.11e-4	4.03415443884959e-4	6.602302036489854e-8	87	77	1	87, 33, 29	4.9
SCARF2	22q11.2_LCRA-D	1.417e-4	1.8424788793088454e-4	1.3868394206991793e-8	87	77	1	87, 60, 5	5
NDE1	16p13.11	3.11e-4	4.140666666666667e-4	7.473020444444444e-8	86	75	1	86, 63, 5	5
OTUD7A	15q13.3_BP4-BP5	9.97e-5	1.670471120669465e-4	2.789910177390698e-8	84	60	1	84, 27, 27	3.4
COX10	HNPP	3.148e-4	4.4523266566871253e-4	9.913308657846755e-8	83	71	1	83, 52, 21	5.1
TBX6	16p11.2prox	5.076e-4	6.176133322586668e-4	7.862244299826002e-5	82	82	1	82, 4, 4	6.8
NCAPH	2q11.2	7.36e-5	1.0858900047556704e-4	6.3746110242826984e-9	81	68	1	81, 73, 4	5.2
SLC25A1	22q11.2_LCRA-D	1.417e-4	2.1106044455423642e-4	2.4467621255431904e-8	80	67	1	80, 39, 39	5.2
TUFM	16p11.2dist	1.3769999999999999e-4	2.0662244337447917e-4	2.3731544106039857e-8	80	67	1	80, 40, 40	5.2
PRRT2	16p11.2prox	5.076e-4	8.254777777777776e-4	4.2375580160493827e-7	76	61	1	76, 60, 23	5.3
SNAP29	22q11.2_LCRA-D	1.417e-4	2.3790677981081214e-4	3.652074587995024e-8	75	60	1	75, 30, 30	5.3
CNNM4	2q11.2	7.36e-5	1.3548322163874077e-4	1.2938743345612154e-8	70	54	1	70, 46, 46	5.3
POLR3GL	1q21_TAR	1.78e-4	3.3188200353644786e-4	7.84616642713668e-8	70	54	1	70, 55, 38	5.3
RBP3	10q11.21q11.23	1.353e-4	2.5753300000571955e-4	4.801715609194595e-8	69	53	1	69, 47, 25	2.8
ANAPC1	2q13	1.258e-4	2.482916683364246e-4	4.582311256528505e-8	67	51	1	67, 25, 25	1.8
ZNHIT3	17q12	6.886e-5	1.4790000000000002e-4	1.7132710400000002e-8	64	47	1	64, 87, 3	5.3
CD19	16p11.2dist	1.3769999999999999e-4	2.9658444281646776e-4	6.900104172075462e-8	63	46	1	63, 74, 20	5.2
B9D1	SMS	5.333e-5	1.278111111111111e-4	1.3491591223456789e-8	59	42	2	89, 59, 2	5.2
SGCG	13q12.12	2.018e-4	5.875586590122277e-4	3.0450193778024714e-7	51	34	1	51, 49, 26	2.9
CDC45	22q11.2_LCRA-D	1.417e-4	4.29650554995751e-4	1.6452070940815688e-7	50	33	1	50, 56, 24	2.4
CHAT	10q11.21q11.23	1.353e-4	4.452758844188518e-4	1.7996452324499065e-7	47	30	1	47, 52, 12	2.3
FDFT1	8p23.1	9.495e-6	3.7374222408726606e-5	1.306677475656962e-9	41	25	2	93, 41, 2	4.7
TRPM1	15q13.3_BP4-BP5	9.97e-5	4.3086477741200265e-4	1.8563882053829462e-7	41	23	2	70, 41, 29	2.2
TANGO2	22q11.2_LCRA-D	1.417e-4	6.114444478582591e-4	3.537854228166913e-7	38	23	3	63, 54, 38	0.28
MIPEP	13q12.12	2.018e-4	9.217733334634298e-4	8.089428382842833e-7	36	22	1	36, 21, 16	3
NSMCE3	15q11q13_BP3-BP5	2.374e-6	4.483777777777778e-5	5.623100400493828e-10	36	5.3	2	93, 36, 7	2.6
DYNLT2B	3q29	2.136e-5	1.0421744402396078e-4	1.04050260388874e-8	34	20	3	74, 43, 34	0.51
ATPAF2	SMS	5.333e-5	2.736422287340793e-4	7.203598044655419e-8	33	19	2	95, 33, 2	4.3
TXNRD2	22q11.2_LCRA-D	1.417e-4	7.321444593656343e-4	5.159566193797969e-7	32	19	3	37, 37, 32	2.5
SACS	13q12.12	2.018e-4	0.0011279888888888888	1.2316356934567902e-6	30	18	1	30, 21, 21	1.6
FAN1	15q13.3_BP4-BP5	9.97e-5	6.251952233101872e-4	3.908634313738749e-7	29	16	1	29, 22, 22	2.1
LMAN2L	2q11.2	7.36e-5	4.3070755843606053e-4	1.8009204089395252e-7	29	17	1	29, 32, 22	1.6
PI4KA	22q11.2_LCRA-D	1.417e-4	8.283102212022834e-4	6.660189325481758e-7	29	17	1	29, 28, 12	2.5
PCYT1A	3q29	2.136e-5	1.3224066743599769e-4	1.7031344523918137e-8	28	16	3	82, 34, 28	0.59
TFRC	3q29	2.136e-5	1.3093433393128215e-4	1.6687550202028507e-8	28	16	3	82, 34, 28	0.59
NCF1	7q11.23	1.2e-4	8.040952219364491e-4	6.321691259410274e-7	26	15	2	89, 26, 16	2.9
ERCC6	10q11.21q11.23	1.353e-4	9.357686669107112e-4	8.573569079718497e-7	25	14	2	37, 25, 25	2.4
OTOA	16p12.1	5.84e-4	0.004053300453225022	1.6088188564114165e-5	25	14	3	81, 33, 25	3.9
ALDH3A2	SMS	5.333e-5	4.010222222222222e-4	1.5797473381604938e-7	23	13	5	52, 28, 28	-0.39
TNFRSF13B	SMS	5.333e-5	4.2002333592164017e-4	1.73575513818743e-7	23	13	5	44, 41, 27	-0.33
ATP2A1	16p11.2dist	1.3769999999999999e-4	0.0011137861112627307	1.2215582116417554e-6	22	12	2	83, 22, 17	2.5
TOP3A	SMS	5.333e-5	5.072833302524096e-4	2.544922882519753e-7	19	11	3	27, 24, 19	1.1
LZTR1	22q11.2_LCRA-D	1.417e-4	0.0014870107783174298	2.191122164832208e-6	17	9.5	1	17, 16, 16	1.5
ABCC6	16p13.11	3.11e-4	0.005127388109946282	2.619338783001851e-5	11	6.1	4	67, 31, 12	1.5
MERTK	2q13	1.258e-4	0.00255485433102439	6.511455012754081e-6	9.4	4.9	2	82, 9, 9	2.3
MYO15A	SMS	5.333e-5	0.0010894162247005075	1.1839836217407064e-6	9.3	4.9	5	27, 22, 12	0.1
POR	7q11.23_dist	2.374e-6	7.446e-5	5.5386557240000005e-9	6.2	3.2	2	98, 6, 2	1.7
MDH2	7q11.23_dist	2.374e-6	8.304177815397375e-5	6.89030104297379e-9	5.6	2.9	3	83, 50, 6	1.5
STRA6	15q24_BPA-BPC	2.374e-6	8.372755534900457e-5	7.0046676487206225e-9	5.5	2.8	4	50, 49, 49	-3.6
RNF168	3q29	2.136e-5	8.10785890047247e-4	6.569175098997065e-7	5.1	2.6	11	45, 37, 26	-0.22
RP1L1	8p23.1	9.495e-6	4.761000015360303e-4	2.2658105643760808e-7	3.9	2	9	52, 39, 19	-1.4
MPI	15q24_BPA-BPC	2.374e-6	1.3936e-4	1.9415573723999998e-8	3.3	1.7	3	69, 69, 3	-4.2
OTUD7A	15q11q13_BP3-BP5	2.374e-6	1.670471120669465e-4	2.789910177390698e-8	2.8	1.4	4	84, 27, 27	-2.6
MAT1A	10q23	7.121e-6	5.211566666666667e-4	2.715535625701111e-7	2.7	1.4	4	83, 31, 23	-2.4
BBS4	15q24_BPA-BPC	2.374e-6	2.7352022059780854e-4	7.480767519987385e-8	1.7	0.87	16	40, 40, 32	-4.5
TRPM1	15q11q13_BP3-BP5	2.374e-6	4.3086477741200265e-4	1.8563882053829462e-7	1.1	0.55	15	70, 41, 29	-3.4
CDHR1	10q23	7.121e-6	0.0015091586043747285	2.277508984517279e-6	0.94	0.47	18	94, 9, 6	-1.8
FAN1	15q11q13_BP3-BP5	2.374e-6	6.251952233101872e-4	3.908634313738749e-7	0.76	0.38	25	29, 22, 22	-3.4
HERC2	PWS/AS_BP2-BP3	1.989e-5	0.006409279120521304	4.107806762055034e-5	0.62	0.31	22.5	97, 6, 2	-1.7
HERC2	PWS/AS_BP1-BP3	1.989e-5	0.006409279120521304	4.107806762055034e-5	0.62	0.31	22.5	97, 6, 2	-1.7
OCA2	PWS/AS_BP2-BP3	1.989e-5	0.008263975878928659	6.82925061033147e-5	0.48	0.24	43.5	52, 18, 16	-2.6
OCA2	PWS/AS_BP1-BP3	1.989e-5	0.008263975878928659	6.82925061033147e-5	0.48	0.24	43.5	52, 18, 16	-2.6
